id,edad,genero,tipo_ocupacion,tipo_vivienda,nivel_ahorro,saldo_categoria,saldo_cuenta_cop,monto_credito_cop,plazo_meses,proposito_credito,estado_pago_previo,riesgo
20,26.0,F,formal_no_calificado,arrendada,alto,alto,1899000.0,5138000.0,33.0,electrodomesticos,al_dia,bueno
21,29.0,M,formal_calificado,arrendada,bajo,medio,712000.0,12996000.0,36.0,vehiculo,mora_severa,malo
22,35.0,M,formal_no_calificado,arrendada,bajo,sin_cuenta,0.0,2458000.0,42.0,electrodomesticos,al_dia,bueno
23,42.0,M,formal_no_calificado,arrendada,bajo,alto,3148000.0,22635000.0,33.0,vehiculo,al_dia,malo
24,40.0,M,formal_calificado,arrendada,bajo,medio,1266000.0,8520000.0,27.0,negocio,mora_severa,malo
25,36.0,M,informal,propia,bajo,bajo,167000.0,5539000.0,12.0,negocio,al_dia,bueno
26,25.0,M,formal_calificado,familiar,,medio,861000.0,3649000.0,,libre_inversion,sin_creditos_previos,bueno
27,30.0,F,informal,familiar,bajo,bajo,206000.0,3133000.0,42.0,remodelacion,al_dia,bueno
28,32.0,M,informal,arrendada,alto,bajo,213000.0,,48.0,negocio,al_dia,bueno
29,28.0,M,formal_calificado,familiar,muy_alto,bajo,356000.0,2074407.0,12.0,libre_inversion,mora_severa,bueno
30,24.0,F,informal,propia,bajo,bajo,161000.0,21098000.0,18.0,negocio,al_dia,bueno
31,35.0,M,informal,arrendada,bajo,medio,393000.0,,42.0,vehiculo,al_dia,malo
32,40.0,F,informal,arrendada,bajo,sin_cuenta,0.0,4755000.0,36.0,vehiculo,mora_severa,malo
33,31.0,F,formal_no_calificado,propia,medio,sin_cuenta,0.0,9957000.0,21.0,otros,al_dia,bueno
34,42.0,M,formal_no_calificado,familiar,bajo,sin_cuenta,,10188000.0,24.0,remodelacion,sin_creditos_previos,bueno
35,26.0,F,informal,familiar,medio,bajo,190000.0,3013000.0,27.0,libre_inversion,mora_severa,bueno
36,28.0,F,informal,familiar,medio,bajo,127000.0,4511000.0,36.0,electrodomesticos,mora_severa,malo
37,35.0,M,informal,arrendada,medio,bajo,174000.0,3935034.0,36.0,remodelacion,mora_severa,bueno
38,31.0,F,informal,propia,bajo,bajo,140000.0,7864000.0,18.0,remodelacion,mora_leve,bueno
39,39.0,M,informal,arrendada,alto,sin_cuenta,0.0,6734000.0,42.0,libre_inversion,al_dia,bueno
40,38.0,F,informal,propia,muy_alto,medio,381000.0,4902000.0,45.0,remodelacion,mora_severa,malo
41,31.0,M,formal_calificado,familiar,medio,medio,275000.0,3170000.0,21.0,negocio,al_dia,malo
42,26.0,M,formal_calificado,propia,bajo,medio,1350000.0,5479000.0,42.0,educacion,mora_severa,bueno
43,30.0,F,informal,familiar,medio,sin_cuenta,0.0,5232000.0,21.0,libre_inversion,mora_severa,malo
44,38.0,M,informal,arrendada,alto,medio,320000.0,8229000.0,30.0,otros,mora_severa,bueno
45,40.0,F,informal,propia,medio,bajo,80000.0,7803000.0,,libre_inversion,al_dia,malo
46,31.0,F,informal,propia,medio,medio,884000.0,9116000.0,39.0,educacion,mora_severa,bueno
47,24.0,F,informal,arrendada,,sin_cuenta,0.0,4259000.0,15.0,vehiculo,sin_creditos_previos,bueno
48,25.0,F,formal_calificado,propia,,medio,273000.0,1308000.0,27.0,otros,sin_creditos_previos,bueno
49,37.0,F,formal_calificado,familiar,medio,alto,3947000.0,2750000.0,30.0,negocio,mora_severa,bueno
50,31.0,F,formal_no_calificado,propia,alto,medio,2437000.0,5530000.0,24.0,negocio,mora_severa,malo
51,31.0,F,informal,arrendada,bajo,medio,284000.0,2429000.0,15.0,libre_inversion,al_dia,bueno
52,28.0,M,formal_no_calificado,propia,bajo,sin_cuenta,0.0,3837000.0,15.0,educacion,al_dia,bueno
53,27.0,F,alta_calificacion,propia,bajo,bajo,275000.0,10385290.0,21.0,vehiculo,mora_severa,bueno
54,42.0,M,informal,propia,bajo,sin_cuenta,,8773000.0,12.0,vehiculo,mora_severa,bueno
55,,M,formal_calificado,familiar,medio,bajo,398000.0,1920000.0,30.0,negocio,al_dia,bueno
56,30.0,M,informal,arrendada,bajo,medio,611000.0,16600000.0,9.0,remodelacion,mora_severa,bueno
57,34.0,M,formal_calificado,familiar,medio,medio,1163000.0,8246000.0,51.0,remodelacion,al_dia,bueno
58,36.0,M,informal,arrendada,bajo,alto,1604000.0,4682000.0,21.0,libre_inversion,al_dia,bueno
59,50.0,M,formal_no_calificado,propia,medio,alto,3274000.0,2413000.0,15.0,electrodomesticos,al_dia,bueno
60,27.0,F,informal,propia,bajo,sin_cuenta,0.0,,12.0,libre_inversion,al_dia,malo
61,36.0,F,formal_no_calificado,arrendada,medio,alto,1279000.0,8755000.0,36.0,libre_inversion,mora_leve,bueno
62,41.0,F,formal_no_calificado,propia,bajo,medio,406000.0,2273000.0,27.0,otros,al_dia,bueno
63,49.0,F,formal_no_calificado,propia,bajo,medio,814000.0,3453000.0,24.0,electrodomesticos,al_dia,bueno
64,,F,formal_calificado,arrendada,medio,sin_cuenta,,9878000.0,27.0,libre_inversion,mora_severa,malo
65,31.0,F,informal,propia,bajo,sin_cuenta,0.0,8256000.0,27.0,vehiculo,mora_severa,bueno
66,39.0,M,formal_calificado,arrendada,bajo,bajo,,5899000.0,30.0,libre_inversion,sin_creditos_previos,bueno
67,25.0,F,informal,arrendada,alto,sin_cuenta,,1982000.0,27.0,libre_inversion,mora_severa,malo
68,36.0,M,formal_no_calificado,arrendada,medio,sin_cuenta,0.0,7745000.0,30.0,educacion,mora_severa,malo
69,56.0,M,informal,arrendada,bajo,sin_cuenta,0.0,5257000.0,27.0,libre_inversion,mora_severa,bueno
70,37.0,M,formal_no_calificado,arrendada,medio,bajo,199000.0,3272000.0,9.0,libre_inversion,al_dia,bueno
71,22.0,F,informal,propia,bajo,bajo,274436.0,5526000.0,15.0,libre_inversion,mora_severa,malo
72,28.0,F,alta_calificacion,propia,bajo,sin_cuenta,0.0,2302000.0,15.0,remodelacion,mora_severa,bueno
73,29.0,M,formal_no_calificado,propia,bajo,medio,511000.0,10006000.0,15.0,libre_inversion,al_dia,bueno
74,44.0,F,informal,propia,bajo,sin_cuenta,0.0,30486000.0,12.0,vehiculo,mora_severa,malo
75,33.0,M,formal_calificado,arrendada,bajo,bajo,149000.0,4835000.0,27.0,negocio,al_dia,malo
76,24.0,M,informal,arrendada,medio,bajo,182000.0,6204000.0,33.0,electrodomesticos,mora_severa,bueno
77,33.0,M,informal,arrendada,bajo,bajo,143000.0,3194000.0,9.0,libre_inversion,al_dia,bueno
78,35.0,M,informal,propia,bajo,sin_cuenta,0.0,2962000.0,15.0,negocio,al_dia,bueno
79,30.0,F,formal_calificado,propia,bajo,medio,739000.0,5019641.0,12.0,electrodomesticos,mora_leve,bueno
80,27.0,M,alta_calificacion,propia,bajo,bajo,117000.0,4638000.0,9.0,negocio,al_dia,bueno
81,58.0,M,alta_calificacion,familiar,medio,sin_cuenta,0.0,5795000.0,24.0,libre_inversion,mora_severa,malo
82,42.0,M,informal,propia,bajo,bajo,223000.0,9887000.0,9.0,libre_inversion,al_dia,bueno
83,43.0,F,informal,arrendada,bajo,sin_cuenta,0.0,5338000.0,21.0,libre_inversion,sin_creditos_previos,malo
84,33.0,F,formal_calificado,propia,bajo,alto,1016000.0,,24.0,electrodomesticos,al_dia,bueno
85,29.0,F,informal,arrendada,bajo,bajo,221000.0,4082000.0,21.0,vehiculo,al_dia,bueno
86,31.0,F,formal_no_calificado,arrendada,medio,sin_cuenta,,4089000.0,21.0,vehiculo,sin_creditos_previos,bueno
87,26.0,F,alta_calificacion,propia,medio,medio,1066228.0,6421000.0,21.0,vehiculo,mora_leve,bueno
88,50.0,M,informal,arrendada,medio,medio,472000.0,6489000.0,33.0,vehiculo,al_dia,bueno
89,34.0,M,informal,arrendada,bajo,bajo,283000.0,13506542.0,,vehiculo,al_dia,bueno
90,47.0,M,formal_calificado,arrendada,bajo,alto,2286000.0,2357000.0,27.0,libre_inversion,mora_severa,bueno
91,31.0,M,formal_no_calificado,familiar,medio,bajo,162000.0,1709000.0,15.0,electrodomesticos,mora_leve,bueno
92,38.0,M,alta_calificacion,familiar,muy_alto,sin_cuenta,0.0,5361000.0,15.0,negocio,al_dia,bueno
93,35.0,M,formal_no_calificado,arrendada,bajo,medio,1360000.0,3299000.0,9.0,otros,mora_severa,bueno
94,25.0,M,informal,familiar,medio,alto,1922000.0,5117000.0,39.0,libre_inversion,al_dia,bueno
95,52.0,M,formal_calificado,familiar,bajo,sin_cuenta,0.0,5995000.0,19.0,vehiculo,sin_creditos_previos,malo
96,31.0,M,,propia,muy_alto,sin_cuenta,0.0,2594000.0,21.0,libre_inversion,al_dia,bueno
97,27.0,M,alta_calificacion,arrendada,,bajo,,3870000.0,21.0,electrodomesticos,al_dia,bueno
98,40.0,F,formal_no_calificado,arrendada,bajo,medio,725000.0,12794000.0,18.0,vehiculo,mora_severa,bueno
99,34.0,F,formal_no_calificado,arrendada,bajo,sin_cuenta,0.0,7699000.0,24.0,negocio,mora_leve,bueno
100,37.0,M,informal,arrendada,medio,alto,5359000.0,2722000.0,24.0,otros,al_dia,bueno
101,35.0,M,informal,familiar,medio,sin_cuenta,0.0,2593000.0,27.0,vehiculo,al_dia,bueno
102,22.0,M,alta_calificacion,familiar,medio,medio,1744000.0,15480000.0,12.0,vehiculo,al_dia,bueno
103,28.0,M,alta_calificacion,propia,medio,medio,378000.0,,9.0,electrodomesticos,mora_leve,bueno
104,28.0,M,formal_no_calificado,arrendada,bajo,sin_cuenta,0.0,11085000.0,33.0,remodelacion,mora_severa,malo
105,42.0,M,alta_calificacion,arrendada,bajo,bajo,316000.0,10887000.0,21.0,educacion,al_dia,bueno
106,34.0,F,informal,familiar,alto,sin_cuenta,0.0,5781000.0,15.0,libre_inversion,al_dia,bueno
107,38.0,F,formal_calificado,arrendada,bajo,medio,420000.0,7796000.0,33.0,libre_inversion,mora_severa,bueno
108,31.0,F,formal_no_calificado,propia,bajo,bajo,105000.0,6985000.0,15.0,remodelacion,mora_severa,bueno
109,39.0,F,formal_calificado,propia,bajo,medio,526000.0,5702000.0,15.0,vehiculo,sin_creditos_previos,bueno
110,33.0,F,formal_calificado,propia,,bajo,104000.0,2380000.0,18.0,remodelacion,al_dia,bueno
111,32.0,F,formal_no_calificado,propia,bajo,bajo,118000.0,9988000.0,15.0,vehiculo,mora_severa,malo
112,35.0,F,,propia,medio,sin_cuenta,0.0,1602000.0,15.0,libre_inversion,mora_severa,bueno
113,35.0,F,informal,propia,medio,sin_cuenta,0.0,3584000.0,30.0,libre_inversion,al_dia,malo
114,64.0,F,formal_calificado,familiar,bajo,bajo,57000.0,3994000.0,42.0,educacion,al_dia,malo
115,28.0,F,informal,propia,bajo,alto,7858000.0,8514000.0,12.0,vehiculo,al_dia,bueno
116,25.0,F,informal,propia,alto,medio,307000.0,4538000.0,21.0,libre_inversion,al_dia,bueno
117,37.0,M,formal_calificado,arrendada,medio,bajo,143000.0,2611000.0,15.0,libre_inversion,sin_creditos_previos,bueno
118,29.0,M,formal_calificado,propia,alto,alto,1521000.0,5946000.0,36.0,negocio,al_dia,bueno
119,22.0,M,formal_calificado,arrendada,bajo,sin_cuenta,0.0,8878000.0,27.0,electrodomesticos,sin_creditos_previos,bueno
120,27.0,M,informal,familiar,alto,alto,739000.0,4067000.0,21.0,negocio,mora_severa,bueno
121,59.0,M,informal,propia,alto,sin_cuenta,0.0,3639000.0,30.0,otros,al_dia,bueno
122,28.0,M,formal_no_calificado,arrendada,bajo,sin_cuenta,,6340000.0,33.0,libre_inversion,al_dia,bueno
123,24.0,M,formal_calificado,propia,medio,medio,994000.0,4184000.0,,otros,al_dia,bueno
124,58.0,F,alta_calificacion,arrendada,bajo,bajo,236000.0,10778000.0,30.0,vehiculo,al_dia,bueno
125,27.0,M,formal_calificado,arrendada,medio,medio,573000.0,11322000.0,45.0,remodelacion,sin_creditos_previos,malo
126,70.0,M,formal_no_calificado,propia,medio,medio,318000.0,16413000.0,27.0,vehiculo,sin_creditos_previos,bueno
127,31.0,M,formal_calificado,arrendada,bajo,sin_cuenta,0.0,4425000.0,15.0,remodelacion,al_dia,bueno
128,52.0,M,informal,arrendada,bajo,sin_cuenta,0.0,6016533.0,24.0,remodelacion,al_dia,bueno
129,32.0,F,alta_calificacion,propia,bajo,bajo,125000.0,4324000.0,18.0,libre_inversion,al_dia,bueno
130,38.0,F,formal_no_calificado,propia,medio,bajo,363000.0,5442000.0,42.0,vehiculo,mora_severa,bueno
131,33.0,M,informal,arrendada,medio,bajo,350000.0,4338314.0,18.0,libre_inversion,al_dia,bueno
132,32.0,M,formal_no_calificado,propia,bajo,sin_cuenta,0.0,1556000.0,18.0,libre_inversion,mora_severa,bueno
133,37.0,M,formal_calificado,arrendada,muy_alto,sin_cuenta,0.0,3458000.0,21.0,electrodomesticos,al_dia,bueno
134,38.0,F,informal,familiar,bajo,bajo,277000.0,,24.0,remodelacion,al_dia,bueno
135,35.0,F,informal,arrendada,bajo,sin_cuenta,0.0,2156000.0,15.0,libre_inversion,al_dia,bueno
136,34.0,F,formal_calificado,propia,bajo,bajo,51000.0,5947000.0,15.0,libre_inversion,al_dia,malo
137,,M,alta_calificacion,arrendada,alto,sin_cuenta,0.0,4342000.0,15.0,otros,mora_leve,bueno
138,33.0,F,formal_no_calificado,arrendada,medio,medio,380000.0,8820000.0,42.0,vehiculo,mora_severa,malo
139,50.0,F,informal,arrendada,medio,bajo,385000.0,3891000.0,27.0,remodelacion,al_dia,bueno
140,29.0,F,formal_no_calificado,familiar,alto,sin_cuenta,0.0,2482000.0,21.0,libre_inversion,mora_severa,malo
141,36.0,M,informal,arrendada,bajo,medio,370000.0,3268000.0,18.0,remodelacion,mora_severa,malo
142,45.0,M,informal,propia,bajo,bajo,141000.0,5986000.0,15.0,educacion,al_dia,bueno
143,38.0,M,informal,propia,medio,bajo,446000.0,3349000.0,18.0,libre_inversion,al_dia,bueno
144,42.0,M,formal_no_calificado,familiar,bajo,sin_cuenta,0.0,894000.0,21.0,electrodomesticos,mora_severa,bueno
145,27.0,F,informal,arrendada,bajo,bajo,113000.0,2428000.0,36.0,libre_inversion,mora_severa,malo
146,36.0,M,informal,familiar,bajo,medio,993000.0,2377000.0,15.0,libre_inversion,al_dia,bueno
147,32.0,M,informal,arrendada,bajo,sin_cuenta,0.0,4158000.0,24.0,remodelacion,mora_severa,bueno
148,32.0,F,formal_no_calificado,familiar,bajo,bajo,150000.0,4242000.0,27.0,remodelacion,mora_severa,bueno
149,49.0,M,,arrendada,,sin_cuenta,0.0,1465000.0,15.0,electrodomesticos,mora_severa,malo
150,32.0,F,informal,familiar,muy_alto,bajo,172000.0,3417000.0,9.0,electrodomesticos,mora_leve,bueno
151,36.0,F,formal_no_calificado,familiar,bajo,bajo,93000.0,2415000.0,24.0,vehiculo,al_dia,bueno
152,24.0,F,formal_calificado,familiar,alto,sin_cuenta,0.0,,15.0,electrodomesticos,al_dia,bueno
153,52.0,F,formal_calificado,familiar,bajo,sin_cuenta,0.0,11046000.0,24.0,vehiculo,mora_severa,malo
154,42.0,M,formal_no_calificado,arrendada,alto,bajo,62000.0,5570000.0,24.0,libre_inversion,al_dia,bueno
155,33.0,M,formal_calificado,arrendada,bajo,bajo,39000.0,3975000.0,33.0,libre_inversion,mora_leve,malo
156,31.0,F,formal_calificado,arrendada,bajo,alto,965000.0,12119000.0,33.0,negocio,al_dia,bueno
157,39.0,M,formal_no_calificado,arrendada,bajo,medio,768000.0,3990000.0,9.0,libre_inversion,al_dia,bueno
158,45.0,M,formal_no_calificado,arrendada,,medio,555000.0,7731000.0,27.0,vehiculo,mora_severa,bueno
159,52.0,F,informal,arrendada,medio,alto,1327000.0,4059000.0,24.0,electrodomesticos,mora_severa,bueno
160,41.0,M,informal,arrendada,bajo,sin_cuenta,0.0,5720000.0,24.0,educacion,al_dia,malo
161,34.0,M,informal,arrendada,bajo,medio,488000.0,10601000.0,33.0,educacion,mora_severa,malo
162,43.0,M,informal,familiar,medio,alto,2482000.0,3709000.0,15.0,remodelacion,al_dia,bueno
163,41.0,M,alta_calificacion,arrendada,,bajo,957000.0,6993000.0,33.0,vehiculo,al_dia,bueno
164,34.0,F,informal,arrendada,bajo,medio,524000.0,4781000.0,27.0,libre_inversion,mora_leve,malo
165,41.0,M,formal_no_calificado,familiar,bajo,bajo,60000.0,3866000.0,9.0,educacion,mora_leve,bueno
166,40.0,M,alta_calificacion,arrendada,medio,sin_cuenta,,16773000.0,18.0,negocio,mora_severa,malo
167,33.0,M,formal_no_calificado,arrendada,bajo,sin_cuenta,0.0,8355000.0,21.0,negocio,al_dia,bueno
168,30.0,F,informal,arrendada,medio,sin_cuenta,0.0,3643000.0,9.0,negocio,mora_severa,malo
169,40.0,M,alta_calificacion,arrendada,bajo,bajo,60000.0,3275000.0,27.0,vehiculo,al_dia,malo
170,27.0,M,informal,arrendada,muy_alto,medio,1591000.0,10942000.0,33.0,libre_inversion,al_dia,malo
171,26.0,F,informal,propia,,sin_cuenta,0.0,4205000.0,30.0,remodelacion,al_dia,bueno
172,36.0,M,informal,propia,medio,sin_cuenta,0.0,6199000.0,30.0,remodelacion,al_dia,bueno
173,39.0,F,informal,familiar,alto,sin_cuenta,0.0,3812000.0,18.0,libre_inversion,sin_creditos_previos,bueno
174,37.0,M,formal_calificado,familiar,muy_alto,alto,,7768000.0,27.0,remodelacion,al_dia,bueno
175,37.0,M,informal,arrendada,medio,medio,525000.0,3429000.0,42.0,otros,al_dia,bueno
176,22.0,M,formal_calificado,familiar,medio,sin_cuenta,0.0,3826000.0,12.0,libre_inversion,mora_severa,malo
177,39.0,F,informal,arrendada,,medio,957000.0,4602000.0,12.0,vehiculo,mora_severa,malo
178,49.0,M,alta_calificacion,propia,bajo,medio,498000.0,29736000.0,15.0,vehiculo,al_dia,bueno
179,42.0,M,informal,arrendada,medio,medio,1507000.0,2639000.0,21.0,libre_inversion,mora_severa,malo
180,41.0,M,alta_calificacion,propia,medio,medio,305000.0,5588000.0,15.0,educacion,al_dia,bueno
181,36.0,M,informal,propia,medio,bajo,229000.0,24716000.0,30.0,remodelacion,al_dia,bueno
182,36.0,F,formal_calificado,familiar,alto,sin_cuenta,0.0,7306000.0,21.0,libre_inversion,mora_severa,malo
183,33.0,F,formal_calificado,arrendada,medio,medio,931000.0,6189000.0,21.0,negocio,mora_severa,malo
184,37.0,M,formal_no_calificado,propia,medio,medio,393000.0,8761000.0,33.0,vehiculo,al_dia,bueno
185,,M,informal,arrendada,alto,sin_cuenta,0.0,1615000.0,12.0,electrodomesticos,al_dia,bueno
186,49.0,M,formal_no_calificado,arrendada,,bajo,,12313091.0,24.0,remodelacion,mora_severa,malo
187,28.0,F,formal_no_calificado,arrendada,bajo,bajo,62000.0,5944000.0,27.0,negocio,mora_leve,bueno
188,42.0,M,formal_no_calificado,propia,bajo,bajo,29000.0,4759000.0,39.0,libre_inversion,al_dia,bueno
189,47.0,M,formal_no_calificado,arrendada,bajo,bajo,194000.0,2579000.0,54.0,electrodomesticos,sin_creditos_previos,malo
190,42.0,F,alta_calificacion,arrendada,bajo,sin_cuenta,0.0,3507000.0,12.0,remodelacion,mora_leve,malo
191,61.0,F,alta_calificacion,arrendada,medio,bajo,86000.0,6262000.0,18.0,negocio,mora_leve,bueno
192,23.0,M,formal_no_calificado,familiar,alto,sin_cuenta,0.0,6957000.0,9.0,educacion,al_dia,bueno
193,30.0,M,informal,arrendada,bajo,sin_cuenta,0.0,6507000.0,12.0,negocio,mora_leve,malo
194,47.0,F,informal,familiar,alto,bajo,239000.0,9381000.0,42.0,libre_inversion,al_dia,bueno
195,26.0,F,formal_calificado,familiar,medio,bajo,156000.0,2194000.0,30.0,vehiculo,al_dia,bueno
196,28.0,M,alta_calificacion,propia,muy_alto,bajo,,14424000.0,18.0,vehiculo,al_dia,bueno
197,38.0,M,informal,propia,bajo,sin_cuenta,0.0,1345000.0,21.0,electrodomesticos,mora_severa,malo
198,34.0,M,informal,arrendada,bajo,bajo,124000.0,6047000.0,12.0,educacion,al_dia,bueno
199,38.0,M,informal,familiar,,sin_cuenta,0.0,500000.0,12.0,electrodomesticos,al_dia,bueno
200,35.0,M,informal,propia,,sin_cuenta,0.0,,21.0,libre_inversion,mora_severa,bueno
201,36.0,F,,propia,alto,medio,2017000.0,7269000.0,15.0,remodelacion,sin_creditos_previos,bueno
202,29.0,M,formal_calificado,arrendada,alto,bajo,138000.0,2800000.0,30.0,libre_inversion,mora_severa,bueno
203,35.0,M,informal,familiar,bajo,bajo,95000.0,4703000.0,33.0,libre_inversion,sin_creditos_previos,malo
204,,F,informal,propia,bajo,bajo,101000.0,7448000.0,18.0,remodelacion,sin_creditos_previos,bueno
205,32.0,M,informal,propia,medio,sin_cuenta,0.0,10078000.0,27.0,negocio,al_dia,bueno
206,41.0,M,formal_no_calificado,propia,bajo,sin_cuenta,0.0,2935000.0,21.0,vehiculo,mora_severa,malo
207,26.0,F,formal_no_calificado,familiar,,bajo,84000.0,4874000.0,21.0,electrodomesticos,al_dia,malo
208,22.0,M,informal,arrendada,medio,medio,876000.0,8937000.0,39.0,electrodomesticos,al_dia,bueno
209,41.0,F,informal,arrendada,alto,bajo,405793.0,6992000.0,12.0,libre_inversion,mora_leve,bueno
210,35.0,M,formal_calificado,familiar,alto,medio,234000.0,1775000.0,39.0,electrodomesticos,mora_severa,bueno
211,47.0,M,formal_calificado,arrendada,bajo,alto,1030000.0,2538000.0,33.0,libre_inversion,al_dia,bueno
212,,F,formal_no_calificado,familiar,bajo,sin_cuenta,0.0,4770000.0,24.0,educacion,al_dia,bueno
213,33.0,M,formal_no_calificado,propia,medio,alto,6399000.0,6784000.0,30.0,educacion,al_dia,bueno
214,35.0,M,alta_calificacion,propia,alto,medio,358000.0,6446000.0,21.0,libre_inversion,al_dia,bueno
215,30.0,M,formal_calificado,arrendada,medio,bajo,128000.0,2492000.0,18.0,libre_inversion,al_dia,bueno
216,28.0,F,alta_calificacion,propia,bajo,bajo,42000.0,3566000.0,15.0,libre_inversion,al_dia,bueno
217,41.0,M,informal,familiar,medio,bajo,190000.0,2660000.0,33.0,otros,mora_severa,bueno
218,25.0,F,informal,arrendada,bajo,sin_cuenta,0.0,3731000.0,24.0,negocio,al_dia,malo
219,27.0,F,informal,propia,bajo,sin_cuenta,,10826000.0,48.0,negocio,mora_severa,malo
220,33.0,M,formal_calificado,arrendada,muy_alto,bajo,,7405000.0,30.0,vehiculo,mora_leve,bueno
221,42.0,M,formal_calificado,arrendada,bajo,sin_cuenta,0.0,5877000.0,24.0,educacion,sin_creditos_previos,bueno
222,30.0,M,informal,arrendada,bajo,sin_cuenta,0.0,1912000.0,15.0,electrodomesticos,al_dia,bueno
223,29.0,F,alta_calificacion,propia,bajo,sin_cuenta,0.0,5567000.0,18.0,libre_inversion,al_dia,bueno
224,32.0,M,alta_calificacion,familiar,alto,alto,3262000.0,3464000.0,15.0,vehiculo,al_dia,bueno
225,37.0,F,informal,arrendada,bajo,sin_cuenta,0.0,5789000.0,27.0,vehiculo,mora_severa,malo
226,31.0,M,formal_no_calificado,familiar,bajo,alto,6296000.0,3765000.0,21.0,vehiculo,mora_severa,bueno
227,44.0,M,formal_no_calificado,arrendada,bajo,bajo,158000.0,4504000.0,18.0,libre_inversion,mora_severa,malo
228,45.0,F,informal,arrendada,medio,sin_cuenta,0.0,25929000.0,48.0,vehiculo,al_dia,bueno
229,33.0,M,formal_calificado,propia,bajo,sin_cuenta,0.0,4126000.0,,electrodomesticos,mora_severa,malo
230,55.0,M,informal,arrendada,alto,sin_cuenta,0.0,3776000.0,21.0,libre_inversion,al_dia,bueno
231,34.0,F,formal_calificado,propia,alto,bajo,138000.0,3709722.0,24.0,libre_inversion,mora_severa,bueno
232,44.0,F,formal_calificado,familiar,bajo,sin_cuenta,0.0,3756000.0,30.0,remodelacion,mora_severa,malo
233,37.0,M,formal_calificado,propia,bajo,medio,870645.0,5167000.0,21.0,electrodomesticos,sin_creditos_previos,bueno
234,37.0,M,formal_calificado,propia,bajo,bajo,398000.0,7792000.0,12.0,vehiculo,mora_leve,bueno
235,24.0,M,informal,arrendada,bajo,bajo,129000.0,2321000.0,15.0,negocio,al_dia,malo
236,27.0,F,informal,arrendada,bajo,bajo,266000.0,13053000.0,24.0,vehiculo,mora_leve,malo
237,32.0,M,formal_calificado,arrendada,medio,medio,858000.0,4445000.0,24.0,vehiculo,mora_severa,bueno
238,44.0,F,informal,arrendada,bajo,alto,744000.0,2410000.0,9.0,libre_inversion,al_dia,bueno
239,37.0,F,formal_calificado,arrendada,bajo,bajo,249000.0,9619000.0,30.0,vehiculo,al_dia,bueno
240,32.0,F,informal,familiar,bajo,sin_cuenta,0.0,2488000.0,9.0,libre_inversion,al_dia,bueno
241,39.0,M,,arrendada,bajo,alto,4703000.0,19299000.0,12.0,negocio,mora_leve,bueno
242,44.0,M,formal_no_calificado,arrendada,bajo,alto,2004000.0,6343000.0,33.0,negocio,al_dia,malo
243,34.0,M,formal_calificado,familiar,bajo,medio,823000.0,9803000.0,21.0,vehiculo,mora_severa,malo
244,36.0,M,formal_no_calificado,propia,medio,medio,651000.0,2119000.0,39.0,libre_inversion,al_dia,malo
245,35.0,M,formal_no_calificado,propia,bajo,bajo,72000.0,3406000.0,36.0,libre_inversion,al_dia,bueno
246,33.0,F,informal,propia,bajo,bajo,182000.0,3931489.0,12.0,remodelacion,mora_severa,bueno
